Identifier,Company_Name,Country_of_Headquarters,IVLatestFiscalYearPeriodEndDate,FY0,FY-1,FY-2,FY-3,FY-4,FY-5,FY-6,FY-7,FY-8,FY-9
STRN.S,Schlatter Industries AG,Switzerland,31-12-2022,57.72,61.55,57.43,54.44,51.13,,,,,
BIOG.DE,Biotest AG,Germany,,56.47,43.24,33.45,45.04,,,,,,
BDTG.DE,Bertrandt AG,Germany,30-09-2022,43.32,32.29,,,,,,,,
UZU.DE,Uzin Utz SE,Germany,31-12-2022,61.73,50.42,48.67,43.32,40.81,36.87,30.83,37.84,39.21,34.84
BEAN.S,Belimo Holding AG,Switzerland,31-12-2022,38.79,35.53,21.55,,,,,,,
BBN.S,Bellevue Group AG,Switzerland,31-12-2022,41.77,20.77,20.66,11.18,10.82,6.65,5.85,4.87,6.41,9.5
BION.S,BB Biotech AG,Switzerland,,85.26,86.39,85.55,83.2,85.15,82.99,84.24,84.3,84.46,84.7
NOVN.S,Novartis AG,Switzerland,31-12-2022,14.82,10.82,,,,,,,,
ONE.S,One Swiss Bank SA,Switzerland,,,,,,,,,,,
HBLN.S,Hypothekarbank Lenzburg AG,Switzerland,31-12-2022,64.7,64.83,64.48,51.36,50.33,42.74,39.66,48.43,36.67,40.57
HUBN.S,Huber+Suhner AG,Switzerland,31-12-2022,17.75,14.97,,,,,,,,
LECN.S,Leclanche SA,Switzerland,,53.07,54.28,53.24,49.73,42.6,41.35,45.67,45.54,46.34,
MORG.DE,MorphoSys AG,Germany,,,,,,,,,,,
MWBG.DE,mwb Fairtrade Wertpapierhandelsbank AG,Germany,31-12-2022,,,,,,,,,,
NSNG.F,Neschen AG,Germany,,26.24,25.06,20.82,,,,,,,
CLXN.S,Crealogix Holding AG,Switzerland,,,,,,,,,,,
WKB.S,Banque Cantonale du Valais,Switzerland,31-12-2022,,,,,,,,,,
SOL.S,SOLVALOR 61,Switzerland,,,,,,,,,,,
BBHKk.F,Deutsche Balaton AG,Germany,31-12-2021,40.2,35.33,29.05,18.03,11.28,,,,,
MOZN.S,Mobilezone Holding AG,Switzerland,31-12-2022,19.48,21.62,17.62,,,,,,,
VLRT.S,Valartis Group AG,Switzerland,31-12-2022,43.93,51.4,39.44,33.15,27.3,,,,,
BOS.S,Bossard Holding AG,Switzerland,31-12-2022,86.42,86.72,84.13,79.68,80.14,74.18,72.72,68.92,66.43,67.55
FMEG.DE,Fresenius Medical Care AG & Co KGaA,Germany,31-12-2022,,,,,,,,,,
STX50EEX.DE,iShares Core EURO STOXX 50 UCITS ETF (DE),Germany,,62.91,66.81,69.23,51.32,54.41,54.76,56.83,57.03,71.65,63.46
SWVKk.F,SolarWorld AG,Germany,,,,,,,,,,,
STX50EX.DE,iShares STOXX Europe 50 UCITS ETF (DE),Germany,,,,,,,,,,,
SGBI.PK,Sangui Biotech International Inc,Germany,,,,,,,,,,,
TIBN.S,Bergbahnen Engelberg Truebsee Titlis Bet AG,Switzerland,31-10-2022,,,,,,,,,,
AVFP.PK,Avis Financial Corp,Switzerland,,,,,,,,,,,
MBKG.DE,Merkur Privatbank KGaA,Germany,31-12-2022,,,,,,,,,,
GDAXIEX.DE,iShares Core DAX UCITS ETF (DE),Germany,,,,,,,,,,,
TLIK.DE,TELES Informationstechnologien AG,Germany,,48.09,47.67,41.38,30.52,30.24,,,,,
COP1n.DE,CompuGroup Medical SE & Co KgaA,Germany,31-12-2022,51.48,49.29,50.26,44.13,46.94,,,,,
STLN.S,Swiss Steel Holding AG,Switzerland,,86.08,85.44,81.27,80.14,72.49,73.96,72.93,74.53,72.03,73.76
PUMG.DE,Puma SE,Germany,31-12-2022,,,,,,,,,,
BEFG.F,Berliner Effektengesellschaft AG,Germany,31-12-2022,,,,,,,,,,
BSSG.F,Beta Systems Software AG,Germany,30-09-2022,57.96,52.38,48.38,45.91,,,,,,
STOG_p.DE,Sto SE & Co KgaA,Germany,31-12-2022,59.43,57.67,54.31,45.32,29.51,,,,,
ASCN.S,Ascom Holding AG,Switzerland,,,,,,,,,,,
KUB1G.MU,Konsortium AG,Germany,,,,,,,,,,,
RMOG.D,RM Rheiner Management AG,Germany,31-12-2022,54.88,52.11,53.31,59.03,58.92,49.08,50.15,35.9,39.06,45.45
IWG.L,IWG Plc,Switzerland,,59.46,40.7,39.51,,,,,,,
GMMG.DE,Grammer AG,Germany,31-12-2022,12.77,12.19,11.4,,,,,,,
ALPN.S,Alpine Select AG,Switzerland,,62.27,23.66,20.79,,,,,,,
ADNGk.DE,adesso SE,Germany,31-12-2022,,,,,,,,,,
CAG0n.H,Clere AG,Germany,31-12-2021,,,,,,,,,,
EXJ.F,Readcrest Capital AG,Germany,,9.72,10.93,7.34,,,,,,,
HLEE.S,Highlight Event and Entertainment AG,Switzerland,,,,,,,,,,,
SFDGk.F,Softline AG,Germany,31-12-2021,29.88,32.86,33.55,,,,,,,
RSL2.DE,R Stahl AG,Germany,31-12-2022,,,,,,,,,,
YMSG.F,Ymos AG,Germany,,59.43,49.54,46.95,28.8,22.88,,,,,
COTNE.S,Comet Holding AG,Switzerland,31-12-2022,84.96,82.39,82.02,71.54,68.66,62.06,55.07,42.21,46.23,39.71
DOKA.S,Dormakaba Holding AG,Switzerland,30-06-2022,,,,,,,,,,
SMWN.DE,SM Wirtschaftsberatungs AG,Germany,31-12-2021,64.2,59.53,49.27,51.37,,,,,,
CWCG.DE,Cewe Stiftung & Co KGaA,Germany,31-12-2022,55.3,53.16,25.89,19.64,,,,,,
IFCN.S,Inficon Holding AG,Switzerland,31-12-2022,80.49,79.76,80.48,76.63,77.56,76.45,76.5,68.79,68.33,66.94
CLN.S,Clariant AG,Switzerland,31-12-2022,68.1,69.2,56.59,53.4,49,,,,,
JENGn.DE,Jenoptik AG,Germany,31-12-2022,70.12,69.5,67.51,65.68,66.77,58.63,57.62,53.96,42.47,42.95
SGCG.DE,SGL Carbon SE,Germany,,64.55,58.52,35.64,32.71,30.5,29.94,25.29,25.04,20.42,17.5
UHR.S,Swatch Group AG,Switzerland,31-12-2022,92.34,93.97,93.92,93.26,93.83,91.38,92.21,93.03,90.88,94.57
MBGn.DE,Mercedes Benz Group AG,Germany,31-12-2022,,,,,,,,,,
EDLG.DE,Edel SE & Co KgaA,Germany,30-09-2022,,,,,,,,,,
BMMG.F,Brueder Mannesmann AG,Germany,31-12-2022,79.77,71.4,68.69,64.31,65.18,61.68,38.06,26.55,26.86,26
LOGN.S,Logitech International SA,Switzerland,31-03-2023,,,,,,,,,,
LUMG.F,ais AG,Germany,,72.99,76.54,70.29,69.15,74.37,,,,,
ADVG.DE,Adtran Networks SE,Germany,31-12-2022,,,,,,,,,,
JOXG.MU,Jost AG,Germany,,,,,,,,,,,
GIVG.DE,Verianos Se,Germany,,,,,,,,,,,
NWXG.F,NORDWEST Handel AG,Germany,31-12-2022,44,32.38,20.8,18.14,,,,,,
WSUG.DE,WashTec AG,Germany,31-12-2022,30.98,32.65,31.14,,,,,,,
BCGE.S,Banque Cantonale de Geneve,Switzerland,31-12-2022,67.34,66.96,66.4,56.76,46.17,38.92,37.65,47.55,51.36,51.44
HELN.S,Helvetia Holding AG,Switzerland,31-12-2022,,,,,,,,,,
MSHGn.F,WASGAU Produktions & Handels AG,Germany,31-12-2022,28.88,31.98,14.92,,,,,,,
SYZG.DE,Syzygy AG,Germany,31-12-2022,,,,,,,,,,
UBKG.DE,Umweltbank AG,Germany,31-12-2021,71.32,70.59,71.17,65.97,62.85,52.05,51.17,50.69,46.03,50.64
KNIN.S,Kuehne und Nagel International AG,Switzerland,,60.51,45.23,43.41,37.84,27.02,31.23,14.03,11.02,14.16,15.37
UTDI.DE,United Internet AG,Germany,31-12-2022,33.73,34.23,25.78,27.76,,,,,,
PNEGn.DE,PNE AG,Germany,,,,,,,,,,,
WOLFG.DE,Meta Wolf AG,Germany,,38.58,40.8,20.09,13.97,,,,,,
ALSN.S,Also Holding AG,Switzerland,31-12-2022,54.36,57.33,54.61,40.47,34.39,19.56,,,,
NEKG.DE,Nemetschek SE,Germany,31-12-2022,32.02,31.96,,,,,,,,
MXHNn.DE,MAX Automation SE,Germany,31-12-2022,72.69,73.82,74.38,73.96,72.75,68.38,59.25,55.9,33.33,35.69
PSMGn.DE,Prosiebensat 1 Media SE,Germany,31-12-2022,57.01,52,43.77,,,,,,,
YSNG.DE,secunet Security Networks AG,Germany,31-12-2022,,,,,,,,,,
PEHG.F,PEH Wertpapier AG,Germany,31-12-2022,,,,,,,,,,
BLMG.DE,Baader Bank AG,Germany,31-12-2022,,,,,,,,,,
FRSG.DE,Foris AG,Germany,,,,,,,,,,,
MDG1k.DE,Medigene AG,Germany,,90.05,91.32,87.08,83.49,83.81,78.4,80.5,80.02,74.96,72.05
MRCG.DE,Merck KGaA,Germany,31-12-2022,24.95,,,,,,,,,
SLTG.H,Schaltbau Holding AG,Germany,31-12-2022,,,,,,,,,,
ELMN.S,Elma Electronic AG,Switzerland,31-12-2022,44.39,36.75,,,,,,,,
IVUG.DE,IVU Traffic Technologies AG,Germany,31-12-2022,,,,,,,,,,
VEHG.F,Valora Effekten Handel AG,Germany,,,,,,,,,,,
DJGTEEX.DE,iShares Dow Jones Global Titans 50 (DE),Germany,,,,,,,,,,,
EMHn.DE,Pferdewetten de AG,Germany,,,,,,,,,,,
GMEG.DE,Geratherm Medical AG,Germany,31-12-2021,11.94,16.12,14.66,,,,,,,
HLGZ.DE,Highlight Communications AG,Switzerland,,72.92,75.48,74.61,60.8,54.31,54.58,46.54,34.91,33.03,28.02
AIXGn.DE,Aixtron SE,Germany,31-12-2022,54.1,54.66,56.2,53.01,52.62,43.77,42.46,33.16,40.41,36.55
HDDG.DE,Heidelberger Druckmaschinen AG,Germany,31-03-2023,,,,,,,,,,
SNGGk.DE,Singulus Technologies AG,Germany,31-12-2021,35.31,44.49,28.59,30.78,25.44,,,,,
TTKG.DE,Takkt AG,Germany,31-12-2022,53.59,55.12,50.46,42.23,41.31,37.47,22.37,27.32,21.52,22.05
FIEG.DE,Fielmann AG,Germany,31-12-2022,48.65,42.12,41.79,20.71,,,,,,
PSAGn.DE,PSI Software AG,Germany,31-12-2022,46.01,38.51,39.57,33.89,29.71,,,,,
AMDG.DE,Amadeus Fire AG,Germany,31-12-2022,,,,,,,,,,
FNGG.F,Fritz Nols AG,Germany,,75.53,74.99,68.44,60.66,56.91,,,,,
EVTG.DE,Evotec SE,Germany,,21.57,21.41,11.04,,,,,,,
MUMG.DE,Mensch und Maschine Software SE,Germany,31-12-2022,73.7,75.39,72.26,69,60.93,54.19,52.83,28.65,22.16,25.18
TEMN.S,Temenos AG,Switzerland,31-12-2022,78.22,70.25,53.98,61.61,62.38,60.34,71.72,66.56,67.56,62.28
HNRGn.DE,Hannover Rueck SE,Germany,31-12-2022,15.88,14.35,13.36,,,,,,,
TOHN.S,Tornos Holding AG,Switzerland,,91.55,89.98,92.1,90.82,86.38,85.58,88.42,93.5,86.72,90.93
ADSGn.DE,Adidas AG,Germany,,,,,,,,,,,
MGUGg.D,Magnum AG,Germany,,,,,,,,,,,
IFS1.F,infas Holding AG,Germany,31-12-2022,35.55,38.22,41.12,,,,,,,
STGN.S,Starrag Group Holding AG,Switzerland,31-12-2022,46.74,43.37,45.11,36.36,,,,,,
EUZG.DE,Eckert & Ziegler Strahlen und Medizintechnik AG,Germany,31-12-2022,,,,,,,,,,
RTCG.DE,Realtech AG,Germany,,29.09,23.57,,,,,,,,
TTRGn.DE,technotrans SE,Germany,31-12-2022,,,,,,,,,,
EKK1.BE,Reederei Herbert Ekkenga Aktiengesellschaft Passagierschiffahrt,Germany,,46.7,30.67,33.21,22.47,28.75,,,,,
BSLG.DE,Basler AG,Germany,31-12-2022,58.17,55.28,45.98,21.1,,,,,,
A1OS.DE,All for One Group SE,Germany,30-09-2022,,,,,,,,,,
SGUG.F,Sino-German United AG,Germany,,,,,,,,,,,
HAKG.HA,Einbecker Brauhaus AG,Germany,31-12-2021,,,,,,,,,,
ECKG.DE,LUDWIG BECK am Rathauseck Textilhaus Feldmeier AG,Germany,31-12-2022,,,,,,,,,,
ABAG.F,ALBA SE,Germany,31-12-2022,8.37,8.74,9,8.28,5.13,,,,,
PEHN.S,Private Equity Holding AG,Switzerland,,,,,,,,,,,
SIC.S,Swisscanto (CH) REF Responsible IFCA FA CHF,Switzerland,,,,,,,,,,,
MPCKk.DE,MPC Muenchmeyer Petersen Capital AG,Germany,31-12-2022,48.8,54.56,21.77,,,,,,,
CSHG.DE,CENIT AG,Germany,31-12-2022,,,,,,,,,,
DTDGk.DE,B+S Banksysteme AG,Germany,,71.89,63.39,44.69,34.16,38.12,24.29,,,,
1U1.DE,1&1 AG,Germany,31-12-2022,69.24,65.37,57.8,44.04,52,38.28,53.54,45.94,47.7,41.34
SOWGn.DE,Software AG,Germany,31-12-2022,60.87,55.91,,,,,,,,
EBKG.DE,EnBW Energie Baden Wuerttemberg AG,Germany,31-12-2022,35,13.8,10.69,,,,,,,
ADVN.S,Adval Tech Holding AG,Switzerland,31-12-2022,,,,,,,,,,
MFCG.H,CashMedien AG,Germany,,,,,,,,,,,
SLSAn.DE,Solutiance AG,Germany,,,,,,,,,,,
CEKG.DE,CeoTronics Audio Video Data Communication AG,Germany,31-05-2022,,,,,,,,,,
CEVG.H,Centrotec SE,Germany,,56.29,44.91,33.28,15.37,,,,,,
SMHNn.DE,SUESS MicroTec SE,Germany,31-12-2022,,,,,,,,,,
BVZN.S,BVZ Holding AG,Switzerland,31-12-2022,,,,,,,,,,
ITMG.DE,Intertainment AG,Germany,,,,,,,,,,,
MUBG.DE,Muehlbauer Holding AG,Germany,,,,,,,,,,,
PLEKk.F,Plenum AG,Germany,31-12-2022,,,,,,,,,,
ELNk.F,Elanix Biotechnologies AG,Germany,,,,,,,,,,,
SPTG.F,Sparta AG,Germany,,,,,,,,,,,
H2OG.F,Enapter AG,Germany,,84.89,85.32,87.22,80.86,71.11,71.84,64.22,66.02,69.23,66.38
LONN.S,Lonza Group AG,Switzerland,31-12-2022,53.85,44.76,46.01,38.08,29.56,,,,,
FTON.S,Feintool International Holding AG,Switzerland,,,,,,,,,,,
CPUGk.F,CPU Softwarehouse AG,Germany,,,,,,,,,,,
EUXG.F,Euwax AG,Germany,31-12-2022,76.46,76.66,78.05,75.97,76.25,66.9,61.51,60.03,61.84,50.54
BARN.S,Barry Callebaut AG,Switzerland,31-08-2022,,,,,,,,,,
BYBKk.BE,Red Rock Capital AG,Germany,,,,,,,,,,,
ESYGn.H,Easy Software AG,Germany,31-12-2022,49.7,48.86,39.27,32.15,,,,,,
GSC1n.DE,Gesco SE,Germany,,27.62,,,,,,,,,
ACWNn.DE,AS Creation Tapeten AG,Germany,,,,,,,,,,,
HOC.H,Holidaycheck Group AG,Germany,,31.44,24.22,,,,,,,,
SAHN.S,Schaffner Holding AG,Switzerland,30-09-2022,,,,,,,,,,
SYTG.DE,Softing AG,Germany,31-12-2022,,,,,,,,,,
UCA1.F,UCA AG,Germany,31-12-2022,29.92,29.92,12.92,8.35,,,,,,
CICN.S,Cicor Technologies Ltd,Switzerland,31-12-2022,55.49,48.54,,,,,,,,
HAWG.DE,Hawesko Holding SE,Germany,31-12-2022,45.13,32.16,9.16,9.43,,,,,,
ECVG.DE,Encavis AG,Germany,31-12-2022,67.92,66.82,66.53,62.65,62.15,53.79,52.12,55.39,53.09,52.39
STMN.S,Straumann Holding AG,Switzerland,31-12-2022,71.11,64.29,48.36,37.56,,,,,,
SBSG.DE,Stratec SE,Germany,31-12-2022,64.21,51.45,50.01,41.22,,,,,,
COKG.DE,Cancom SE,Germany,31-12-2022,30.24,29.11,29.06,20.35,11.77,10.8,12.46,12.19,12.56,9.18
KUD.S,Kudelski SA,Switzerland,31-12-2022,5.1,4.58,3.15,,,,,,,
EIC.S,Eeii AG,Switzerland,,54.97,55.58,51.04,32.87,21.21,,,,,
BANB.S,Bachem Holding AG,Switzerland,31-12-2022,51.93,51.79,50.04,49.82,53.08,45.89,42.27,46.31,37.32,40.24
MVVGn.DE,MVV Energie AG,Germany,,82.17,80.71,77.54,72.51,69.38,66.2,61.22,64.13,63.02,56.47
NAFG.DE,Aurubis AG,Germany,,6.79,4.91,,,,,,,,
KNRS.S,Kinarus Therapeutics Holding AG,Switzerland,,,,,,,,,,,
AYDGn.DE,Artnet AG,Germany,,,,,,,,,,,
MDNG.DE,Medion AG,Germany,,,,,,,,,,,
DGRG.DE,Deutsche Grundstuecksauktionen AG,Germany,31-12-2022,24.86,28.46,24.34,21.84,15.95,17.93,16.82,13.2,12.41,18.51
DEQGn.DE,Deutsche EuroShop AG,Germany,31-12-2022,53.07,50.94,45.26,45.05,41.87,,,,,
RAAG.DE,Rational AG,Germany,31-12-2022,46.52,44.11,43.87,,,,,,,
SISG.DE,First Sensor AG,Germany,,,,,,,,,,,
TISG.F,Tiscon AG,Germany,,91.98,94.45,94.03,93.72,92.72,89.72,87.22,88.9,92.89,89.72
ABBN.S,Abb Ltd,Switzerland,31-12-2022,,,,,,,,,,
ZPFGn.MU,Zapf Creation AG,Germany,31-12-2022,,,,,,,,,,
QS6A.SG,Q-Soft Verwaltungs AG,Germany,30-09-2022,,,,,,,,,,
SPME.DE,Splendid Medien AG,Germany,,,,,,,,,,,
PUS.MU,Pulsion Medical Systems SE,Germany,31-12-2021,,,,,,,,,,
KSWG.F,KST Beteiligungs AG,Germany,31-12-2021,,,,,,,,,,
THAGN.S,Talenthouse AG,Switzerland,,,,,,,,,,,
LOUn.H,DEAG Deutsche Entertainment AG,Germany,,12.72,10.07,7.95,,,,,,,
CPE.S,Castle Private Equity AG,Switzerland,,,,,,,,,,,
AFRMF.PK,Alphaform AG,Germany,,,,,,,,,,,
HBD1.F,Philomaxcap AG,Germany,,,,,,,,,,,
2INVn.DE,2Invest AG,Germany,,16.82,12.44,,,,,,,,
DE1n.H,Deufol SE,Germany,31-12-2022,45.62,51.36,42.8,40.11,,,,,,
SURG.DE,Surteco Group SE,Germany,31-12-2022,,,,,,,,,,
YTME.S,Youngtimers AG,Switzerland,,72.68,68.28,75.85,72.61,70.8,64.95,60.99,74.61,69.32,75.46
SCMN.S,Swisscom AG,Switzerland,31-12-2022,53.76,53.04,40.01,,,,,,,
NXUG.DE,Nexus AG,Germany,31-12-2022,70.29,71.74,71.8,63.19,61.65,55.24,,,,
AFXG.DE,Carl Zeiss Meditec AG,Germany,30-09-2022,,,,,,,,,,
SHSGk.F,SHS Viveon AG,Germany,,,,,,,,,,,
AAQ1k.DE,Aap Implantate AG,Germany,,,,,,,,,,,
DREGa.F,Deutsche Real Estate AG,Germany,,,,,,,,,,,
AOFG.DE,Atoss Software AG,Germany,31-12-2022,23.03,24.49,23.23,,,,,,,
TGTG.DE,11 88 0 Solutions AG,Germany,,36.29,33.76,32.13,,,,,,,
MZXG.DE,Masterflex SE,Germany,31-12-2022,13.96,19.54,17.87,,,,,,,
AEVS.S,Aevis Victoria SA,Switzerland,,,,,,,,,,,
ICPG.F,Panamax AG,Germany,,,,,,,,,,,
TTOG.F,TTL Beteiligungs und Grundbesitz AG,Germany,,,,,,,,,,,
OBS.DE,Orbis Se,Germany,31-12-2022,60.33,52.82,35.23,32.48,25.01,,,,,
ELGG.DE,Elmos Semiconductor SE,Germany,31-12-2022,86.2,87.76,90.58,88.65,89.07,83.41,80.73,82.68,77.57,79.65
GEBN.S,Geberit AG,Switzerland,31-12-2022,,,,,,,,,,
MONG.MU,Bloxolid AG,Switzerland,,,,,,,,,,,
APME.DE,Ad Pepper Media International NV,Germany,,55.57,55.78,57.66,61.71,55.55,65.51,44.11,43.68,53.58,56.79
RIG.N,Transocean Ltd,Switzerland,,34.55,31.86,30.57,,,,,,,
TPEG.DE,PVA TePla AG,Germany,31-12-2022,,,,,,,,,,
CNWk.F,CoDon AG,Germany,,,,,,,,,,,
HYIG.F,Hyrican Informationssysteme AG,Germany,,94.42,94.41,95.06,92.81,88.97,89.23,87.48,89.34,89.7,81.09
ROG.S,Roche Holding AG,Switzerland,31-12-2022,,,,,,,,,,
TLVB.PA,Televerbier SA,Switzerland,31-10-2022,,,,,,,,,,
TCUG.F,TC Unterhaltungselektronik AG,Germany,,,,,,,,,,,
UUUG.DE,3U Holding AG,Germany,,,,,,,,,,,
TECDAXEX.DE,iShares TecDAX® UCITS ETF (DE) EUR (Acc),Germany,,,,,,,,,,,
DIEG.DE,Dierig Holding AG,Germany,31-12-2022,69.19,53.41,46.08,33.45,30.35,,,,,
BC8G.DE,Bechtle AG,Germany,31-12-2022,,,,,,,,,,
NC5Ak.DE,NorCom Information Technology GmbH & Co KgaA,Germany,,,,,,,,,,,
VVVGn_p.DE,OEKOWORLD AG,Germany,31-12-2022,,,,,,,,,,
ULCG.DE,United Labels AG,Germany,31-12-2022,83.05,83.06,82.17,76.73,76.99,78.96,82.99,80.02,74.31,73.17
IFXGn.DE,Infineon Technologies AG,Germany,30-09-2022,23.3,15.96,,,,,,,,
MSGL.H,Msg Life Ag,Germany,31-12-2022,,,,,,,,,,
TVD6.F,German Values Property Group AG,Germany,31-12-2021,36.96,43.35,36.48,27.36,26.15,25.21,,,,
EVDG.DE,Cts Eventim AG & Co KgaA,Germany,31-12-2022,,,,,,,,,,
DCIGk.F,DCI Database for Commerce and Industry AG,Germany,31-12-2022,,,,,,,,,,
MDAXIEX.DE,iShares MDAX® UCITS ETF (DE),Germany,,17.36,16.67,16.35,,,,,,,
CPHN.S,CPH Chemie und Papier Holding AG,Switzerland,,6.16,2.54,3.59,,,,,,,
SGKN.S,St Galler Kantonalbank AG,Switzerland,31-12-2022,57.51,48.03,50.61,20.28,22.99,,,,,
SQN.S,Swissquote Group Holding SA,Switzerland,31-12-2022,27.26,28.93,18.52,,,,,,,
HNLG.DE,Dr Hoenle AG,Germany,,79.54,83.55,85.55,87.09,80.12,80.3,82.87,80.36,78.1,79.5
DPWGn.DE,Deutsche Post AG,Germany,31-12-2022,,,,,,,,,,
MLLG.DE,Mueller Die lila Logistik SE,Germany,31-12-2022,,,,,,,,,,
HYWG.BE,Hydrotec Gesellschaft fuer Wassertechnik AG,Germany,,44.69,50.3,45.95,42.4,27.96,24.3,28.83,26.46,27.14,26.15
ALLN.S,Allreal Holding AG,Switzerland,31-12-2022,,,,,,,,,,
EKTG.DE,Energiekontor AG,Germany,31-12-2022,58.1,60.64,45.38,40.3,39.66,30.54,34.99,33.56,31.19,26.42
PSPN.S,PSP Swiss Property AG,Switzerland,31-12-2022,,,,,,,,,,
PDAG.DE,Pro DV AG,Germany,,50.98,52.29,39.81,,,,,,,
SHFG.DE,SNP Schneider Neureither & Partner SE,Germany,31-12-2022,,,,,,,,,,
MSAG.DE,MS Industrie AG,Germany,31-12-2022,,,,,,,,,,
ANWGn.DE,DocCheck AG,Germany,31-12-2022,68.46,70,68.94,,,,,,,
QBYn.DE,QBeyond AG,Germany,,61.37,62.89,64.05,56.61,51.45,47.33,46.19,48.09,35.82,23.17
SPSN.S,Swiss Prime Site AG,Switzerland,,47.05,43.03,34.18,,,,,,,
AEIGn.DE,Allgeier SE,Germany,31-12-2022,32.03,29.93,,,,,,,,
SWEGn.DE,Schweizer Electronic AG,Germany,,77.54,75.87,75.58,73.41,74.73,70.58,67.33,73.94,71.34,70.71
GIVN.S,Givaudan SA,Switzerland,31-12-2022,77.44,57.09,50.01,39.49,42.13,36.2,,,,
GLJn.DE,Grenke AG,Germany,31-12-2022,,,,,,,,,,
BMPG.BE,BMP Pharma Trading AG,Germany,31-12-2022,,,,,,,,,,
SPBG.D,Spobag AG,Germany,,,,,,,,,,,
INWk.DE,GBS Software AG,Germany,,,,,,,,,,,
CCBG.MU,Instant Group AG,Germany,,36.81,28.89,31.53,29.92,28.57,16.13,14.04,15.92,,
WDIG.H,Wirecard AG,Germany,,47.43,39.73,16.95,14.83,16.64,,,,,
TXGN.S,TX Group AG,Switzerland,,55.1,52.92,51.1,47.18,,,,,,
BVB.DE,Borussia Dortmund GmbH & Co KGaA,Germany,,23.43,,,,,,,,,
PGNG.DE,Paragon GmbH & Co KGaA,Germany,31-12-2022,75.27,77.15,73.32,73.18,73.17,72.19,69.32,66.31,64.53,64.86
DB1Gn.DE,Deutsche Boerse AG,Germany,31-12-2022,60.9,64.24,61.12,56.94,56.88,59.97,54.84,59.1,49.08,63.02
GRMN.N,Garmin Ltd,Switzerland,31-12-2022,,,,,,,,,,
FEWG.F,Funkwerk AG,Germany,31-12-2022,39.31,35.05,,,,,,,,
MEDG.DE,Mediclin AG,Germany,31-12-2022,,,,,,,,,,
