PassengerId,Age,Fare,Survived
1,22,7.25,0
2,38,71.2833,1
3,26,7.925,1
4,35,53.1,1
5,35,8.05,0
7,54,51.8625,0
8,2,21.075,0
9,27,11.1333,1
10,14,30.0708,1
11,4,16.7,1
12,58,26.55,1
13,20,8.05,0
14,39,31.275,0
15,14,7.8542,0
16,55,16,1
17,2,29.125,0
19,31,18,0
21,35,26,0
22,34,13,1
23,15,8.0292,1
24,28,35.5,1
25,8,21.075,0
26,38,31.3875,1
28,19,263,0
31,40,27.7208,0
34,66,10.5,0
35,28,82.1708,0
36,42,52,0
38,21,8.05,0
39,18,18,0
40,14,11.2417,1
41,40,9.475,0
42,27,21,0
44,3,41.5792,1
45,19,7.8792,1
50,18,17.8,0
51,7,39.6875,0
52,21,7.8,0
53,49,76.7292,1
54,29,26,1
55,65,61.9792,0
57,21,10.5,1
58,28.5,7.2292,0
59,5,27.75,1
60,11,46.9,0
61,22,7.2292,0
62,38,80,1
63,45,83.475,0
64,4,27.9,0
67,29,10.5,1
68,19,8.1583,0
69,17,7.925,1
70,26,8.6625,0
71,32,10.5,0
72,16,46.9,0
73,21,73.5,0
74,26,14.4542,0
75,32,56.4958,1
76,25,7.65,0
79,0.83,29,1
80,30,12.475,1
81,22,9,0
82,29,9.5,1
84,28,47.1,0
85,17,10.5,1
86,33,15.85,1
87,16,34.375,0
89,23,263,1
90,24,8.05,0
91,29,8.05,0
92,20,7.8542,0
93,46,61.175,0
94,26,20.575,0
95,59,7.25,0
97,71,34.6542,0
98,23,63.3583,1
99,34,23,1
100,34,26,0
101,28,7.8958,0
103,21,77.2875,0
104,33,8.6542,0
105,37,7.925,0
106,28,7.8958,0
107,21,7.65,1
109,38,7.8958,0
111,47,52,0
112,14.5,14.4542,0
113,22,8.05,0
114,20,9.825,0
115,17,14.4583,0
116,21,7.925,0
117,70.5,7.75,0
118,29,21,0
119,24,247.5208,0
120,2,31.275,0
121,21,73.5,0
123,32.5,30.0708,0
124,32.5,13,1
125,54,77.2875,0
126,12,11.2417,1
128,24,7.1417,1
130,45,6.975,0
131,33,7.8958,0
132,20,7.05,0
133,47,14.5,0
134,29,26,1
135,25,13,0
136,23,15.0458,0
137,19,26.2833,1
138,37,53.1,0
139,16,9.2167,0
140,24,79.2,0
142,22,7.75,1
143,24,15.85,1
144,19,6.75,0
145,18,11.5,0
146,19,36.75,0
147,27,7.7958,1
148,9,34.375,0
149,36.5,26,0
150,42,13,0
151,51,12.525,0
152,22,66.6,1
153,55.5,8.05,0
154,40.5,14.5,0
156,51,61.3792,0
157,16,7.7333,1
158,30,8.05,0
161,44,16.1,0
162,40,15.75,1
163,26,7.775,0
164,17,8.6625,0
165,1,39.6875,0
166,9,20.525,1
168,45,27.9,0
170,28,56.4958,0
171,61,33.5,0
172,4,29.125,0
173,1,11.1333,1
174,21,7.925,0
175,56,30.6958,0
176,18,7.8542,0
178,50,28.7125,0
179,30,13,0
180,36,0,0
183,9,31.3875,0
184,1,39,1
185,4,22.025,1
188,45,26.55,1
189,40,15.5,0
190,36,7.8958,0
191,32,13,1
192,19,13,0
193,19,7.8542,1
194,3,26,1
195,44,27.7208,1
196,58,146.5208,1
198,42,8.4042,0
200,24,13,0
201,28,9.5,0
203,34,6.4958,0
204,45.5,7.225,0
205,18,8.05,1
206,2,10.4625,0
207,32,15.85,0
208,26,18.7875,1
209,16,7.75,1
210,40,31,1
211,24,7.05,0
212,35,21,1
213,22,7.25,0
214,30,13,0
216,31,113.275,1
217,27,7.925,1
218,42,27,0
219,32,76.2917,1
220,30,10.5,0
221,16,8.05,1
222,27,13,0
223,51,8.05,0
225,38,90,1
226,22,9.35,0
227,19,10.5,1
228,20.5,7.25,0
229,18,13,0
231,35,83.475,1
232,29,7.775,0
233,59,13.5,0
234,5,31.3875,1
235,24,10.5,0
237,44,26,0
238,8,26.25,1
239,19,10.5,0
240,33,12.275,0
243,29,10.5,0
244,22,7.125,0
245,30,7.225,0
246,44,90,0
247,25,7.775,0
248,24,14.5,1
249,37,52.5542,1
250,54,26,0
252,29,10.4625,0
253,62,26.55,0
254,30,16.1,0
255,41,20.2125,0
256,29,15.2458,1
258,30,86.5,1
259,35,512.3292,1
260,50,26,1
262,3,31.3875,1
263,52,79.65,0
264,40,0,0
266,36,10.5,0
267,16,39.6875,0
268,25,7.775,1
269,58,153.4625,1
270,35,135.6333,1
272,25,0,1
273,41,19.5,1
274,37,29.7,0
276,63,77.9583,1
277,45,7.75,0
279,7,29.125,0
280,35,20.25,1
281,65,7.75,0
282,28,7.8542,0
283,16,9.5,0
284,19,8.05,1
286,33,8.6625,0
287,30,9.5,1
288,22,7.8958,0
289,42,13,1
290,22,7.75,1
291,26,78.85,1
292,19,91.0792,1
293,36,12.875,0
294,24,8.85,0
295,24,7.8958,0
297,23.5,7.2292,0
298,2,151.55,0
300,50,247.5208,1
303,19,0,0
306,0.92,151.55,1
308,17,108.9,1
309,30,24,0
310,30,56.9292,1
311,24,83.1583,1
312,18,262.375,1
313,26,26,0
314,28,7.8958,0
315,43,26.25,0
316,26,7.8542,1
317,24,26,1
318,54,14,0
319,31,164.8667,1
320,40,134.5,1
321,22,7.25,0
322,27,7.8958,0
323,30,12.35,1
324,22,29,1
326,36,135.6333,1
327,61,6.2375,0
328,36,13,1
329,31,20.525,1
330,16,57.9792,1
332,45.5,28.5,0
333,38,153.4625,0
334,16,18,0
337,29,66.6,0
338,41,134.5,1
339,45,8.05,1
340,45,35.5,0
341,2,26,1
342,24,263,1
343,28,13,0
344,25,13,0
345,36,13,0
346,24,13,1
347,40,13,1
349,3,15.9,1
350,42,8.6625,0
351,23,9.225,0
353,15,7.2292,0
354,25,17.8,0
356,28,9.5,0
357,22,55,1
358,38,13,0
361,40,27.9,0
362,29,27.7208,0
363,45,14.4542,0
364,35,7.05,0
366,30,7.25,0
367,60,75.25,1
370,24,69.3,1
371,25,55.4417,1
372,18,6.4958,0
373,19,8.05,0
374,22,135.6333,0
375,3,21.075,0
377,22,7.25,1
378,27,211.5,0
379,20,4.0125,0
380,19,7.775,0
381,42,227.525,1
382,1,15.7417,1
383,32,7.925,0
384,35,52,1
386,18,73.5,0
387,1,46.9,0
388,36,13,1
390,17,12,1
391,36,120,1
392,21,7.7958,1
393,28,7.925,0
394,23,113.275,1
395,24,16.7,1
396,22,7.7958,0
397,31,7.8542,0
398,46,26,0
399,23,10.5,0
400,28,12.65,1
401,39,7.925,1
402,26,8.05,0
403,21,9.825,0
404,28,15.85,0
405,20,8.6625,0
406,34,21,0
407,51,7.75,0
408,3,18.75,1
409,21,7.775,0
413,33,90,1
415,44,7.925,1
417,34,32.5,1
418,18,13,1
419,30,13,0
420,10,24.15,0
422,21,7.7333,0
423,29,7.875,0
424,28,14.4,0
425,18,20.2125,0
427,28,26,1
428,19,26,1
430,32,8.05,1
431,28,26.55,1
433,42,26,1
434,17,7.125,0
435,50,55.9,0
436,14,120,1
437,21,34.375,0
438,24,18.75,1
439,64,263,0
440,31,10.5,0
441,45,26.25,1
442,20,9.5,0
443,25,7.775,0
444,28,13,1
446,4,81.8583,1
447,13,19.5,1
448,34,26.55,1
449,5,19.2583,1
450,52,30.5,1
451,36,27.75,0
453,30,27.75,0
454,49,89.1042,1
456,29,7.8958,1
457,65,26.55,0
459,50,10.5,1
461,48,26.55,1
462,34,8.05,0
463,47,38.5,0
464,48,13,0
466,38,7.05,0
468,56,26.55,0
470,0.75,19.2583,1
472,38,8.6625,0
473,33,27.75,1
474,23,13.7917,1
475,22,9.8375,0
477,34,21,0
478,29,7.0458,0
479,22,7.5208,0
480,2,12.2875,1
481,9,46.9,0
483,50,8.05,0
484,63,9.5875,1
485,25,91.0792,1
487,35,90,1
488,58,29.7,0
489,30,8.05,0
490,9,15.9,1
492,21,7.25,0
493,55,30.5,0
494,71,49.5042,0
495,21,8.05,0
497,54,78.2667,1
499,25,151.55,0
500,24,7.7958,0
501,17,8.6625,0
502,21,7.75,0
504,37,9.5875,0
505,16,86.5,1
506,18,108.9,0
507,33,26,1
509,28,22.525,0
510,26,56.4958,1
511,29,7.75,1
513,36,26.2875,1
514,54,59.4,1
515,24,7.4958,0
516,47,34.0208,0
517,34,10.5,1
519,36,26,1
520,32,7.8958,0
521,30,93.5,1
522,22,7.8958,0
524,44,57.9792,1
526,40.5,7.75,0
527,50,10.5,1
529,39,7.925,0
530,23,11.5,0
531,2,26,1
533,17,7.2292,0
535,30,8.6625,0
536,7,26.25,1
537,45,26.55,0
538,30,106.425,1
540,22,49.5,1
541,36,71,1
542,9,31.275,0
543,11,31.275,0
544,32,26,1
545,50,106.425,0
546,64,26,0
547,19,26,1
549,33,20.525,0
550,8,36.75,1
551,17,110.8833,1
552,27,26,0
554,22,7.225,1
555,22,7.775,1
556,62,26.55,0
557,48,39.6,1
559,39,79.65,1
560,36,17.4,1
562,40,7.8958,0
563,28,13.5,0
566,24,24.15,0
567,19,7.8958,0
568,29,21.075,0
570,32,7.8542,1
571,62,10.5,1
572,53,51.4792,1
573,36,26.3875,1
575,16,8.05,0
576,19,14.5,0
577,34,13,1
578,39,55.9,1
580,32,7.925,1
581,25,30,1
582,39,110.8833,1
583,54,26,0
584,36,40.125,0
586,18,79.65,1
587,47,15,0
588,60,79.2,1
589,22,8.05,0
591,35,7.125,0
592,52,78.2667,1
593,47,7.25,0
595,37,26,0
596,36,24.15,0
598,49,0,0
600,49,56.9292,1
601,24,27,1
604,44,8.05,0
605,35,26.55,1
606,36,15.55,0
607,30,7.8958,0
608,27,30.5,1
609,22,41.5792,1
610,40,153.4625,1
611,39,31.275,0
615,35,8.05,0
616,24,65,1
617,34,14.4,0
618,26,16.1,0
619,4,39,1
620,26,10.5,0
621,27,14.4542,0
622,42,52.5542,1
623,20,15.7417,1
624,21,7.8542,0
625,21,16.1,0
626,61,32.3208,0
627,57,12.35,0
628,21,77.9583,1
629,26,7.8958,0
631,80,30,1
632,51,7.0542,0
633,32,30.5,1
635,9,27.9,0
636,28,13,1
637,32,7.925,0
638,31,26.25,0
639,41,39.6875,0
641,20,7.8542,0
642,24,69.3,1
643,2,27.9,0
645,0.75,19.2583,1
646,48,76.7292,1
647,19,7.8958,0
648,56,35.5,1
650,23,7.55,1
652,18,23,1
653,21,8.4333,0
655,18,6.75,0
656,24,73.5,0
658,32,15.5,0
659,23,13,0
660,58,113.275,0
661,50,133.65,1
662,40,7.225,0
663,47,25.5875,0
664,36,7.4958,0
665,20,7.925,1
666,32,73.5,0
667,25,13,0
669,43,8.05,0
671,40,39,1
672,31,52,0
673,70,10.5,0
674,31,13,1
676,18,7.775,0
677,24.5,8.05,0
678,18,9.8417,1
679,43,46.9,0
680,36,512.3292,1
682,27,76.7292,1
683,20,9.225,0
684,14,46.9,0
685,60,39,0
686,25,41.5792,0
687,14,39.6875,0
688,19,10.1708,0
689,18,7.7958,0
690,15,211.3375,1
691,31,57,1
692,4,13.4167,1
694,25,7.225,0
695,60,26.55,0
696,52,13.5,0
697,44,8.05,0
699,49,110.8833,0
700,42,7.65,0
701,18,227.525,1
702,35,26.2875,1
703,18,14.4542,0
704,25,7.7417,0
705,26,7.8542,0
706,39,26,0
707,45,13.5,1
708,42,26.2875,1
709,22,151.55,1
711,24,49.5042,1
713,48,52,1
714,29,9.4833,0
715,52,13,0
716,19,7.65,0
717,38,227.525,1
718,27,10.5,1
720,33,7.775,0
721,6,33,1
722,17,7.0542,0
723,34,13,0
724,50,13,0
725,27,53.1,1
726,20,8.6625,0
727,30,21,1
729,25,26,0
730,25,7.925,0
731,29,211.3375,1
732,11,18.7875,0
734,23,13,0
735,23,13,0
736,28.5,16.1,0
737,48,34.375,0
738,35,512.3292,1
742,36,78.85,0
743,21,262.375,1
744,24,16.1,0
745,31,7.925,1
746,70,71,0
747,16,20.25,0
748,30,13,1
749,19,53.1,0
750,31,7.75,0
751,4,23,1
752,6,12.475,1
753,33,9.5,0
754,23,7.8958,0
755,48,65,1
756,0.67,14.5,1
757,28,7.7958,0
758,18,11.5,0
759,34,8.05,0
760,33,86.5,1
762,41,7.125,0
763,20,7.2292,1
764,36,120,1
765,16,7.775,0
766,51,77.9583,1
768,30.5,7.75,0
770,32,8.3625,0
771,24,9.5,0
772,48,7.8542,0
773,57,10.5,0
775,54,23,1
776,18,7.75,0
778,5,12.475,1
780,43,211.3375,1
781,13,7.2292,1
782,17,57,1
783,29,30,0
785,25,7.05,0
786,25,7.25,0
787,18,7.4958,1
788,8,29.125,0
789,1,20.575,1
790,46,79.2,0
792,16,26,0
795,25,7.8958,0
796,39,13,0
797,49,25.9292,1
798,31,8.6833,1
799,30,7.2292,0
800,30,24.15,0
801,34,13,0
802,31,26.25,1
803,11,120,1
804,0.42,8.5167,1
805,27,6.975,1
806,31,7.775,0
807,39,0,0
808,18,7.775,0
809,39,13,0
810,33,53.1,1
811,26,7.8875,0
812,39,24.15,0
813,35,10.5,0
814,6,31.275,0
815,30.5,8.05,0
817,23,7.925,0
818,31,37.0042,0
819,43,6.45,0
820,10,27.9,0
821,52,93.5,1
822,27,8.6625,1
823,38,0,0
824,27,12.475,1
825,2,39.6875,0
828,1,37.0042,1
830,62,80,1
831,15,14.4542,1
832,0.83,18.75,1
834,23,7.8542,0
835,18,8.3,0
836,39,83.1583,1
837,21,8.6625,0
839,32,56.4958,1
841,20,7.925,0
842,16,10.5,0
843,30,31,1
844,34.5,6.4375,0
845,17,8.6625,0
846,42,7.55,0
848,35,7.8958,0
849,28,33,0
851,4,31.275,0
852,74,7.775,0
853,9,15.2458,0
854,16,39.4,1
855,44,26,0
856,18,9.35,1
857,45,164.8667,1
858,51,26.55,1
859,24,19.2583,1
861,41,14.1083,0
862,21,11.5,0
863,48,25.9292,1
865,24,13,0
866,42,13,1
867,27,13.8583,1
868,31,50.4958,0
870,4,11.1333,1
871,26,7.8958,0
872,47,52.5542,1
873,33,5,0
874,47,9,0
875,28,24,1
876,15,7.225,1
877,20,9.8458,0
878,19,7.8958,0
880,56,83.1583,1
881,25,26,1
882,33,7.8958,0
883,22,10.5167,0
884,28,10.5,0
885,25,7.05,0
886,39,29.125,0
887,27,13,0
888,19,30,1
890,26,30,1
891,32,7.75,0
